artist_id,track_id,trend,ma,ma1,std
12,24,96,11.0,9.5,2.1213203435596424
12,24,97,29.0,20.0,12.727922061357855
12,24,98,13.0,21.0,11.313708498984761
12,24,99,29.0,21.0,11.313708498984761
12,24,100,15.0,22.0,9.899494936611665
12,24,101,19.0,17.0,2.8284271247461903
12,24,102,23.0,21.0,2.8284271247461903
12,24,103,19.0,21.0,2.8284271247461903
12,24,104,19.0,19.0,0.0
21,36,1,0.0,0.0,0.0
21,36,2,0.0,0.0,0.0
21,36,3,0.0,0.0,0.0
21,36,4,0.0,0.0,0.0
21,36,5,3.0,1.5,2.1213203435596424
21,36,6,2.0,2.5,0.7071067811865476
21,36,7,0.0,1.0,1.4142135623730951
21,36,8,0.0,0.0,0.0
21,36,9,632.0,316.0,446.89148570989806
21,36,10,2195.0,1413.5,1105.2078989945737
21,36,11,1328.0,1761.5,613.0615792887367
21,36,12,1284.0,1306.0,31.11269837220809
21,36,13,1263.0,1273.5,14.849242404917497
21,36,14,2824.0,2043.5,1103.7936854322006
21,36,15,979.0,1901.5,1304.6120112891801
21,36,16,986.0,982.5,4.949747468305833
21,36,17,749.0,867.5,167.58430714121175
21,36,18,664.0,706.5,60.10407640085654
21,36,19,1585.0,1124.5,651.2453454728103
21,36,20,1219.0,1402.0,258.8010819142764
21,36,21,1199.0,1209.0,14.142135623730951
21,36,22,978.0,1088.5,156.27059864222701
21,36,23,638.0,808.0,240.41630560342617
21,36,24,392.0,515.0,173.9482681718907
21,36,25,325.0,358.5,47.37615433949868
21,36,26,376.0,350.5,36.062445840513924
21,36,27,264.0,320.0,79.19595949289332
21,36,28,231.0,247.5,23.33452377915607
21,36,29,228.0,229.5,2.1213203435596424
21,36,30,279.0,253.5,36.062445840513924
21,36,31,689.0,484.0,289.9137802864845
21,36,32,536.0,612.5,108.18733752154178
21,36,33,287.0,411.5,176.06958851545033
21,36,34,386.0,336.5,70.0035713374682
21,36,35,380.0,383.0,4.242640687119285
21,36,36,341.0,360.5,27.577164466275352
21,36,37,290.0,315.5,36.062445840513924
21,36,38,209.0,249.5,57.27564927611035
21,36,39,179.0,194.0,21.213203435596427
21,36,40,274.0,226.5,67.17514421272202
21,36,41,176.0,225.0,69.29646455628166
21,36,42,141.0,158.5,24.748737341529164
21,36,43,89.0,115.0,36.76955262170047
